filename,time_rel(sec),source
xa.s15.00.mhz.1975-04-12HR00_evid00190.mseed,63968.368571428575,Lunar
xa.s15.00.mhz.1975-06-22HR00_evid00194.mseed,70125.08071428571,Lunar
xa.s12.00.mhz.1969-12-16HR00_evid00006.mseed,41381.17928571429,Lunar
xa.s12.00.mhz.1970-01-09HR00_evid00007.mseed,51496.65285714286,Lunar
xa.s12.00.mhz.1970-02-07HR00_evid00014.mseed,53251.72714285715,Lunar
xa.s12.00.mhz.1970-02-18HR00_evid00016.mseed,45971.73261904761,Lunar
xa.s12.00.mhz.1970-03-14HR00_evid00018.mseed,47164.635,Lunar
xa.s12.00.mhz.1970-03-30HR00_evid00020.mseed,22535.977142857144,Lunar
xa.s12.00.mhz.1970-04-03HR00_evid00021.mseed,42179.977857142854,Lunar
xa.s12.00.mhz.1970-05-20HR00_evid00026.mseed,62537.14261904762,Lunar
xa.s12.00.mhz.1970-05-23HR00_evid00027.mseed,45792.38261904761,Lunar
xa.s12.00.mhz.1970-05-24HR00_evid00028.mseed,16689.495714285713,Lunar
xa.s12.00.mhz.1970-05-25HR00_evid00029.mseed,46264.98285714285,Lunar
xa.s12.00.mhz.1970-06-19HR00_evid00031.mseed,64191.548571428575,Lunar
xa.s12.00.mhz.1970-07-17HR00_evid00035.mseed,25436.691428571427,Lunar
xa.s12.00.mhz.1970-07-18HR00_evid00036.mseed,30033.505714285715,Lunar
xa.s12.00.mhz.1970-07-20HR00_evid00037.mseed,29074.00142857143,Lunar
xa.s12.00.mhz.1970-07-27HR00_evid00039.mseed,16692.247142857144,Lunar
xa.s12.00.mhz.1970-09-09HR00_evid00043.mseed,49401.725,Lunar
xa.s12.00.mhz.1970-10-26HR00_evid00049.mseed,55155.42976190476,Lunar
xa.s12.00.mhz.1970-11-03HR00_evid00050.mseed,62502.36261904761,Lunar
xa.s12.00.mhz.1970-11-03HR00_evid00051.mseed,62502.36261904761,Lunar
xa.s12.00.mhz.1971-01-03HR00_evid00057.mseed,41391.349285714285,Lunar
xa.s12.00.mhz.1971-01-05HR00_evid00059.mseed,4637.206428571429,Lunar
xa.s12.00.mhz.1971-01-17HR00_evid00060.mseed,64046.33333333334,Lunar
xa.s12.00.mhz.1971-03-15HR00_evid00073.mseed,24302.45,Lunar
xa.s12.00.mhz.1971-04-08HR01_evid00083.mseed,27862.06714285714,Lunar
xa.s12.00.mhz.1971-05-22HR00_evid00092.mseed,64235.036190476196,Lunar
xa.s12.00.mhz.1971-06-11HR00_evid00096.mseed,50376.69428571429,Lunar
xa.s12.00.mhz.1971-06-27HR00_evid00101.mseed,68730.0611904762,Lunar
xa.s12.00.mhz.1971-10-06HR00_evid00124.mseed,69987.95987012987,Lunar
xa.s12.00.mhz.1971-10-06HR00_evid00125.mseed,69987.95987012987,Lunar
xa.s12.00.mhz.1971-10-26HR00_evid00133.mseed,19076.97,Lunar
xa.s12.00.mhz.1971-11-24HR00_evid00156.mseed,59809.37619047621,Lunar
xa.s12.00.mhz.1972-01-26HR00_evid00186.mseed,53026.17071428571,Lunar
xa.s12.00.mhz.1972-02-21HR00_evid00190.mseed,64483.51142857144,Lunar
xa.s12.00.mhz.1972-02-28HR00_evid00192.mseed,46820.17261904761,Lunar
xa.s12.00.mhz.1972-05-15HR00_evid00223.mseed,62100.69547619048,Lunar
xa.s12.00.mhz.1972-05-19HR00_evid00228.mseed,58015.809761904755,Lunar
xa.s12.00.mhz.1972-11-14HR00_evid00331.mseed,70443.08547619049,Lunar
xa.s12.00.mhz.1972-11-19HR00_evid00335.mseed,64471.16,Lunar
xa.s12.00.mhz.1972-12-02HR00_evid00341.mseed,32960.26571428571,Lunar
xa.s12.00.mhz.1972-12-06HR00_evid00342.mseed,52578.06,Lunar
xa.s12.00.mhz.1972-12-15HR00_evid00349.mseed,29625.767857142855,Lunar
xa.s12.00.mhz.1973-03-12HR00_evid00384.mseed,70429.83214285715,Lunar
xa.s12.00.mhz.1973-04-23HR00_evid00399.mseed,48938.95761904762,Lunar
xa.s12.00.mhz.1973-08-08HR00_evid00437.mseed,62971.30261904761,Lunar
xa.s12.00.mhz.1973-10-03HR03_evid00461.mseed,61321.81476190476,Lunar
xa.s12.00.mhz.1973-10-10HR00_evid00463.mseed,13566.124285714284,Lunar
xa.s12.00.mhz.1973-11-22HR00_evid00475.mseed,50915.7,Lunar
xa.s12.00.mhz.1974-03-14HR00_evid00506.mseed,29518.101428571426,Lunar
xa.s12.00.mhz.1974-03-30HR00_evid00512.mseed,63714.953571428574,Lunar
xa.s12.00.mhz.1974-05-09HR00_evid00522.mseed,50632.545,Lunar
xa.s12.00.mhz.1974-06-30HR00_evid00543.mseed,61853.60190476191,Lunar
xa.s12.00.mhz.1974-07-25HR05_evid00553.mseed,32402.571428571428,Lunar
xa.s12.00.mhz.1974-10-02HR00_evid00572.mseed,51098.47428571429,Lunar
xa.s12.00.mhz.1975-04-21HR00_evid00638.mseed,10163.642857142859,Lunar
xa.s12.00.mhz.1975-05-16HR00_evid00651.mseed,79115.8712987013,Lunar
xa.s12.00.mhz.1975-05-20HR00_evid00652.mseed,61585.209761904756,Lunar
xa.s12.00.mhz.1975-06-15HR00_evid00660.mseed,16809.455714285716,Lunar
xa.s12.00.mhz.1975-06-17HR00_evid00662.mseed,47304.406904761905,Lunar
xa.s12.00.mhz.1977-04-11HR00_evid00915.mseed,51135.955,Lunar
xa.s12.00.mhz.1977-04-24HR00_evid00923.mseed,57806.15214285714,Lunar
xa.s12.00.mhz.1977-04-26HR00_evid00924.mseed,61814.86142857143,Lunar
xa.s12.00.mhz.1977-07-19HR00_evid00991.mseed,66024.50214285715,Lunar
xa.s12.00.mhz.1977-09-13HR00_evid01012.mseed,69778.69785714285,Lunar
